"Tipo de Gestion","Modalidad","Número","Año","Objeto","Descripción","Rubros|SubRubros","Moneda del pliego","Monto Original","Organismo Licitante","Organismos Comitentes","Fecha y Hora de Apertura","Lugar de Apertura","Moneda del pliego","Valor del Pliego   ","Expedientes","Enlaces Documentacion","Estado de la Gestion","Fecha de Último Estado"
"LICITACIÓN PÚBLICA","Sin Modalidad","23",2018,"CTRO DE PEDIDO: DTA- TRAUMATOLOGÍA","INSUMOS PARA TRAUMATOLOGÍA","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",4700000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","24-08-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS UN MIL OCHOCIENTOS OCHENTA CON 00/100","2443/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121311&contar=1&solodocs=1","EN TRAMITE","24-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"CTRO DE PEDIDO: FARMACIA- SORAFENIB","SORAFENIB 200 MG COMP","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",262500,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","27-03-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CIENTO CINCO CON 00/100 ($ 105.-)","794/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120807&contar=1&solodocs=1","CONCLUIDA","28-08-2018 19:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"CONTRATACION DE UN SERVICIO DE LIMPIEZA CON DESTINO A VESTUARIOS Y SECTORES DE PILETA CLIMATIZADA DEL PREDIO LA ESQUINA ENCENDIDA DEPENDIENTE DE LA SECRETARIA DE DESARROLLO DEPORTIVO DEL MINISTERIO DE DESARROLLO SOCIAL","CONTRATACION DE UN SERVICIO DE LIMPIEZA ","SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE LIMPIEZA","PESOS",216000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE DESARROLLO SOCIAL","06-04-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 90","01504-0001727-5","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120839&contar=1&solodocs=1","CONCLUIDA","13-08-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"ADQUISICION DE MATERIAL DESCARTABLE",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",192500,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","10-05-2018 09:00 hs.","OFICINA DE COMPRAS SANTA FE 1311","PESOS","77",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120980&contar=1&solodocs=1","EN TRAMITE","10-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"""ADQUISICION DE INSUMOS DESTINO BIOINGENIERIA""","""ADQUISICION DE INSUMOS DESTINO BIOINGENIERIA""","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",552250,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","17-05-2018 10:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$ 230.00 (SON PESOS DOSCIENTOS TREINTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120999&contar=1&solodocs=1","CONCLUIDA","29-05-2018 10:51 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"ADQUISICION DE INSUMOS PARA EL SERVICIO DE QUIROFANO CENTRAL",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS","PESOS",170000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","27-06-2018 10:00 hs.","HOSPITAL J B ITURRASPE - BV PELLEGRINI 3551- 1° PISO, OFICINA DE COMPRAS Y SUMINISTROS","PESOS","$ 260",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121101&contar=1&solodocs=1","EN TRAMITE","27-06-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"ADQUIRIR ANTISEPTICOS POR UN PERIODO DE 3 (TRES) MESES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",300000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","03-09-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","$ 120.- SON PESOS: CIENTO VEINTE","1803/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121348&contar=1&solodocs=1","EN TRAMITE","03-09-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","23",2018,"ADQUISICIÓN DE REACTIVOS Y APARATOLOGIA PARA EL SERVICIO DE LABORATORIO CENTRAL.","ADQUISICIÓN DE REACTIVOS Y APARATOLOGIA PARA EL SERVICIO DE LABORATORIO CENTRAL.","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","PESOS","74904,4","HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","26-09-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR, JOSÉ MARÍA CULLEN, AV. FREYRE Nº 2150 , 1º PISO - CP. 3000 - SANTA FE.","PESOS","$  80.-","3444/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121391&contar=1&solodocs=1","PARA APERTURA","27-08-2018 12:35 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","23",2018,"SERV. DDEIP DE 30 CANALES CONCURRENTES ",,"SERVICIOS TECNICOS Y PROFESIONALES/SERVICIO DE TELECOMUNICACIONES|  SERVICIOS BASICOS/SERVICIO TELEFONICO","PESOS",23000,"INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","15-06-2018 12:30 hs.","I.A.P.O.S. - DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS",,"15302-0013207-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121086&contar=1&solodocs=1","EN TRAMITE","15-06-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","24",2018,"CONTRATACIÓN DE UN SERVICIO DE ALOJAMIENTO CON PENSION COMPLETA PARA PARTICIPANTES DE LOS JUEGOS NACIONALES EVITA A DESARROLLARSE EN LA CIUDAD DE MAR DEL PLATA, CON DESTINO A LA SECRETARIA DE DESARROLLO DEPORTIVO DEPENDIENTE DEL MINISTERIO DE DESARROLLO SOCIAL","CONTRATACIÓN DE UN SERVICIO DE ALOJAMIENTO ","OTROS SERVICIOS/SERVICIO DE ALOJAMIENTO","PESOS",5839000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE DESARROLLO SOCIAL","16-04-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 2335","01501-0088495-3","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120838&contar=1&solodocs=1","EN TRAMITE","16-04-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","24",2018,"CTRO DE PEDIDO: FARMACIA- MEDICAMENTOS","MEDICAMENTOS PARA TRES MESES","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",17700000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","28-08-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS SIETE MIL OCHENTA CON 00/100 ($ 7080.-)","2506/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121314&contar=1&solodocs=1","EN TRAMITE","28-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","24",2018,"CTRO DE PEDIDO: FARMACIA- INSUMOS CCV","INSUMOS PARA CIRUGÍA CARDIOVASCULAR (HILOS, SONDAS, CLIPS)","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",350000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","28-03-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CIENTO CUARENTA CON 00/100 ($ 140.-)","795/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120808&contar=1&solodocs=1","CONCLUIDA","28-08-2018 19:05 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","24",2018,"ADQUISICIÓN DE TRES (3) TELEFONOS SATELITALES  Y SEIS (6) TARJETAS PREPAGAS CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","ADQUISICIÓN DE TELEFONOS SATELITALES  Y TARJETAS PREPAGAS","EQUIPOS Y ACCESORIOS DE COMUNICACION/EQUIPOS Y ACCESORIOS DE COMUNICACION","PESOS",297000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","19-04-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 120","00108-0009013-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120841&contar=1&solodocs=1","CONCLUIDA","20-07-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","24",2018,"ADQUISICION DE MATERIAL DESCARTABLE",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",212500,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","14-05-2018 09:00 hs.","OFICINA DE COMPRAS SANTA FE 1311","PESOS","88",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120984&contar=1&solodocs=1","EN TRAMITE","14-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","24",2018,"""SERVICIO DE BOLSAS DE NTP DOMICILIARIO - PAC. G.A.F. - 6 MESES""","""SERVICIO DE BOLSAS DE NTP DOMICILIARIO - PAC. G.A.F. - 6 MESES""","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",865000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","16-05-2018 10:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$ 350,00 (SON PESOS TRESCIENTOS CINCUENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120990&contar=1&solodocs=1","CONCLUIDA","29-05-2018 10:53 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","24",2018,"ADQUISICION DE MEDICAMENTOS POR VIA DE EXCEPCION . PARA SEIS MESES Y CON SEIS ENTREGAS",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES","PESOS",310000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","11-07-2018 10:00 hs.","HOSPITAL J.B.ITURRASPE - BV PELLEGRINI 3551 - 1°PISO - OFICINA DE COMPRAS Y SUMINISTROS","PESOS","$ 260",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121143&contar=1&solodocs=1","CONCLUIDA","30-07-2018 08:20 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","24",2018,"CONTRATACIÓN DE UN SERVICIO DE LIMPIEZA P/ BOCAS DE EXPENDIO DE I.A.P.O.S.",,"SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA|  SERVICIO DE MANTENIMIENTO, REPARACION Y LIMPIEZA/SERVICIO DE LIMPIEZA|  OTROS SERVICIOS/SERVICIOS VARIOS","PESOS",68052,"INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","03-07-2018 13:00 hs.","I.A.P.O.S. - DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS",,"15302-0013861-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121148&contar=1&solodocs=1","EN TRAMITE","03-07-2018 23:20 hs."
"CONCURSO PRIVADO","Sin Modalidad","24",2018,"ADQUISICION DE MEDICAMENTOS PARA UN PERIODO DE 2 (DOS) MESES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",950000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","11-09-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","$ 380.- SON PESOS: TRESCIENTOS OCHENTA","1921/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121411&contar=1&solodocs=1","EN TRAMITE","11-09-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","25",2018,"CONTRATACION DE UN SERVICIO DE IMPRESION DE MATERIAL PARA TERTULIAS LITERARIAS DIALOGICAS CON DESTINO A LA SECRETARIA DE PLANIFICACION Y ARTICULACION EDUCATIVA, DEPENDIENTE DEL MINISTERIO DE EDUCACION","CONTRATACION DE UN SERVICIO DE IMPRESION DE MATERIAL ","SERVICIOS COMERCIALES Y FINANCIEROS/IMPRENTA, PUBLICACIONES, REPRODUCCIONES","PESOS",4116800,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","LEY FEDERAL DE EDUCACIÓN","16-04-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 1650","00401-0283032-5","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120829&contar=1&solodocs=1","CONCLUIDA","20-07-2018 00:00 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","25",2018,"ADQUISICIÓN DE INSULINA GLARGINA.","ADQUISICIÓN DE INSULINA GLARGINA CON DESTINO A LA DIRECCION PCIAL. RED DE MEDICAMENTOS.","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",3024000,"MINISTERIO DE SALUD (DIR.GRAL.ADM.)","MINISTERIO DE SALUD - D.P. RED DE MEDICAMENTOS Y TECN. FARMACÉUTICA","01-10-2018 10:00 hs.","MINISTERIO DE SALUD – DPTO DE COMPRAS JUNA DE GARAY 2880 – 3000  STA FE. TEL.: (0342) 4572360/61- – INTERNOS 3121 - 3122 CORREO ELECTRÓNICO: COMPRASALUDSTAFE@SANTAFE.GOV.AR SITIO WEB: WWW.SANTAFE.GOV.AR","PESOS","$  1.200,00","00501-0164694-4","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121446&contar=1&solodocs=1","PARA APERTURA","11-09-2018 11:55 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"CTRO DE PEDIDO: SUMINISTROS- PAÑALES","PAÑALES PARA TRES MESES","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",200000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","27-03-2018 10:30 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS OCHENTA CON 00/100 ($ 80.-)","743/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120813&contar=1&solodocs=1","CONCLUIDA","28-08-2018 19:08 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"CONTRATACION DE UN SERVICIO DE VIGILANCIA CON DESTINO A LA DIRECCION PROVINCIAL DE SALUD Y SEGURIDAD EN EL TRABAJO - SEDE ROSARIO - DEPENDIENTE DEL MINISTERIO DE TRABAJO Y SEGURIDAD SOCIAL","CONTRATACION SERVICIO DE VIGILANCIA","OTROS SERVICIOS/VIGILANCIA","PESOS",440220,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MULTAS SECRETARÍA DE ESTADO DE TRABAJO Y  SEGURIDAD SOCIAL","17-04-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 180","00306-0006948-4","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120860&contar=1&solodocs=1","CONCLUIDA","07-09-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"ADQUISICION DE MATERIAL DESCARTABLE ODONTOLOGIA",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",170000,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","15-05-2018 09:00 hs.","OFICINA DE COMPRAS","PESOS","68",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120985&contar=1&solodocs=1","EN TRAMITE","15-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"""ADQUISICION DE INSUMOS DESTINO EQUIPO AFERESIS""","""ADQUISICION DE INSUMOS DESTINO EQUIPO AFERESIS""","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","PESOS",362000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","16-05-2018 11:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$  150,00 (SON PESOS CIENTO CINCUENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120997&contar=1&solodocs=1","CONCLUIDA","29-05-2018 10:55 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"FORMULAS COMPLETAS ISOCALORIAS ISOTONICA POLVO PARA TRES MESES CON TRES ENTREGAS","LICITACION PRIVADA N°25/2018 ","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES","PESOS",130000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","23-07-2018 10:00 hs.",,"PESOS","$ 260,00","000-143","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121198&contar=1&solodocs=1","CONCLUIDA","03-08-2018 10:15 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","25",2018,"ADQUIRIR NUTRICION ENTERAL Y PARENTERAL PARA UN PERIODO DE 3 (TRES) MESES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",650000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","25-09-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","$ 260.- SON PESOS: DOSCIENTOS SESENTA","2022/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121437&contar=1&solodocs=1","PARA APERTURA","10-09-2018 09:12 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","25",2018,"ADQUISICIÓN DE RESMAS DE PAPEL A4.","ADQUISICIÓN DE RESMAS DE PAPEL A4.","LIBRERIA/ARTICULOS DE LIBRERIA|  PAPELES/PAPELES","PESOS",98000,"INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","21-08-2018 13:00 hs.","I.A.P.O.S. DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS",,"15302-0014406-6","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121335&contar=1&solodocs=1","EN TRAMITE","21-08-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","26",2018,"ADQUISICION DE SETECIENTOS VEINTITRES (723) COLCHONES CON DESTINO AL INSTITUTO DE SEGURIDAD PUBLICA DE LA PROVINCIA DEPENDIENTE DEL MINISTERIO DE SEGURIDAD","ADQUISICION DE COLCHONES","ELECTRODOM.-ART. Y EQUIP.P/EL HOGAR-REPUESTOS/ARTICULOS Y EQUIPAMIENTO PARA EL HOGAR","PESOS",2024400,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE SEGURIDAD","17-04-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 810","00201-0186577-9","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120843&contar=1&solodocs=1","CONCLUIDA","21-06-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"CONTRATACION DE UN SERVICIO DE FOTOCOPIADO CON DESTINO A DISTINTAS DEPENDENCIAS DEL MINISTERIO DE SALUD","CONTRATACION SERVICIO DE FOTOCOPIADO","ALQUILERES/ALQUILER DE MAQUINARIAS Y EQUIPOS","PESOS","309079,68","SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE SALUD (DIR.GRAL.ADM.)","18-04-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 125","00501-0155216-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120861&contar=1&solodocs=1","EN TRAMITE","18-04-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"CTRO DE PEDIDO: FARMACIA- VORICONAZOL","VORICONAZOL 200 MG","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",600000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","16-04-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS DOSCIENTOS CUARENTA CON 00/100 ($ 240.-)","987/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120876&contar=1&solodocs=1","CONCLUIDA","28-08-2018 19:13 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"""MEDICAMENTOS VARIOS - TRATAMIENTOS ESPECIALES""","""MEDICAMENTOS VARIOS - TRATAMIENTOS ESPECIALES""","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",870000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","05-06-2018 10:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$  350,00 (SON PESOS TRESCIENTOS CINCUENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121065&contar=1&solodocs=1","CONCLUIDA","19-06-2018 09:08 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"ADQUISICIÓN INSUMOS MICROBIOLOGÍA ","ADQUISICIÓN INSUMOS MICROBIOLOGÍA","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","PESOS",627500,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","30-05-2018 09:00 hs.","COMPRAS","PESOS","251",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121069&contar=1&solodocs=1","EN TRAMITE","31-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"ADQUISICION DE MATERIAS PRIMAS Y PRODUCTOS DE FARMACOPEA PARA EL SERVICIO DE FARMACIA CENTRAL , POR 12 MESES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",110000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","30-07-2018 10:00 hs.","HOSPITAL J.B. ITURRASPE - BV. PELLEGRINI 3551 - 1° PISO ADMINISTRACION OFICINA DE COMPRAS Y SUMINISTROS","PESOS","$ 260","000-149","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121217&contar=1&solodocs=1","CONCLUIDA","03-08-2018 10:01 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","26",2018,"ADQUIRIR MEDICAMENTOS PARA PACIENTES RENALES PARA UN PERIODO DE 3 (TRES) MESES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",380000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","26-09-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","$ 152.- SON PESOS: CIENTO CINCUENTA Y DOS","2025/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121438&contar=1&solodocs=1","PARA APERTURA","10-09-2018 09:17 hs."
