Marca temporal;Género;Indicá cuál;Edad;Ocupación principal;Indicá cuál;En el último año, tu nivel de uso:;¿Cómo evalúas el estado y mantenimiento de las bicicletas simples? ;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es regular;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es malo;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es muy malo;¿Cómo evalúas la comodidad de las bicicletas simples? ;Indicá las razones por las que considerás que la comodidad de las bicicletas es regular;Indicá las razones por las que considerás que la comodidad de las bicicletas es mala;Indicá las razones por las que considerás que la comodidad de las bicicletas es muy mala;¿Cómo evalúas el funcionamiento general de las estaciones?;Indicá las razones por las que considerás que el funcionamiento de las estaciones es regular;Indicá las razones por las que considerás que el funcionamiento de las estaciones es malo;Indicá las razones por las que considerás que el funcionamiento de las estaciones es muy malo;¿Cómo evalúas las instrucciones para el uso del sistema disponibles en cada estación?;¿En general, cómo evalúas los canales de comunicación disponibles para los usuarios del Sistema de Bicis? ;¿Has utilizado la APP (aplicación gratuita) de Mi Bici Tu Bici? ;La aplicación te ha resultado:;¿Consultas la página web de Mi Bici Tu Bici a la hora de utilizar el sistema?;De bicicletas al momento de su uso;De lugar al momento de devolver la bicicleta ;¿Qué factores te motivan a usar el Sistema de Bicis?;¿Cuál es la actividad principal que motiva tus viajes en el sistema? ;¿Cuál era el principal modo de transporte que utilizabas antes para realizar los viajes que hacés ahora en bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;En una escala de 0 a 10 ¿Cómo valorás el grado de utilidad que tiene para vos el servicio de bicicletas públicas?;En una escala de 0 a 10 ¿Cuál es tu nivel de satisfacción general en relación al servicio?;¿Cuál es la razón principal por la que disminuiste la frecuencia de uso de las bicis públicas o dejaste de usarlas? ;Elija la razón principal a la que atribuye las deficiencias del sistema;¿En qué modo de transporte realizás ahora los viajes que antes hacías con la bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;¿Te gustaría volver a utilizar el sistema con la frecuencia que lo hacías antes?
8/7/2018 22:40:43;Masculino;;26;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Ninguno en particular (uso distintos modos);Sí;No;Sí
8/7/2018 22:57:19;Femenino;;62;Jubilado/ Pensionado;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;Ninguno en particular (uso distintos modos);No;No;Sí
8/7/2018 22:59:51;Femenino;;67;Jubilado/ Pensionado;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;Ninguno en particular (uso distintos modos);No;Sí;Sí
8/7/2018 23:00:26;Masculino;;21;Estudiante;;Ha aumentado;Regular;Falta de limpieza, Pedales dañados, No funciona el timbre, Hace ruido al andar;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;Suficiente;Cuido mi salud;La uso para todas mis actividades;Colectivo;Sí;No;10;8;;;;;;
8/7/2018 23:01:26;Masculino;;21;Estudiante;;Ha sido constante;Bueno;;;;Regular;Se debe pedalear mucho para avanzar;;;Regular;Estaciones frecuentemente fuera de servicio;;;Buenas;Buenos;No;;Sí;Suficiente;Suficiente;Ahorro de dinero;Otro;Colectivo;Sí;Sí;8;8;;;;;;
8/7/2018 23:09:54;Femenino;;47;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;A pie;Sí;No;Sí
8/7/2018 23:14:14;Femenino;;20;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;Colectivo;Sí;No;10;9;;;;;;
8/7/2018 23:18:08;Femenino;;52;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;Ninguno en particular (uso distintos modos);No;Sí;No sabe/ No contesta
8/7/2018 23:18:42;Femenino;;27;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Colectivo;No;No;No
8/7/2018 23:19:08;Masculino;;35;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;A pie;No;Sí;Sí
8/7/2018 23:22:09;Masculino;;47;Trabajador en relación de dependencia;;Ha aumentado;Regular;Problemas para regular el asiento, Pedales dañados, No funciona el timbre, Otro;;;Muy buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Ir/volver al trabajo;Moto/ Ciclomotor;No;No;8;9;;;;;;
8/7/2018 23:22:17;Femenino;;29;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Ir/volver al trabajo;Colectivo;Sí;No;10;9;;;;;;
8/7/2018 23:22:48;Femenino;;43;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici, Falta de bicis disponibles o espacios para devolución;;;Muy buenas;Muy buenos;No;;No;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;A pie;Sí;No;10;8;;;;;;
8/7/2018 23:25:01;Femenino;;23;Estudiante;;Ha aumentado;Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici, Problemas al anclar la bici, Anclajes rotos;;;Buenas;Buenos;No;;Sí;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;8;8;;;;;;
8/7/2018 23:27:19;Femenino;;25;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;A pie;Sí;No;Sí
8/7/2018 23:30:12;Femenino;;31;Desocupado;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;Sí;No;Sí
8/31/2018 15:08:39;Masculino;;31;Trabajador en relación de dependencia;;Ha sido constante;Muy bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud;Ir a lugar de esparcimiento;Auto como conductor;Sí;Sí;7;7;;;;;;
8/7/2018 23:45:36;Femenino;;21;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;A pie;No;No;Sí
8/7/2018 23:49:22;Femenino;;47;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;A pie;No;No;Sí
8/7/2018 23:49:53;Femenino;;29;Trabajador independiente;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;No;No;No sabe/ No contesta
8/7/2018 23:52:13;Masculino;;44;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Ninguno en particular (uso distintos modos);Sí;Sí;Sí
8/7/2018 23:53:36;Masculino;;22;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Problemas para regular el asiento, Ausencia o mal funcionamiento de luces, Hace ruido al andar, Otro;;;Regular;Bici muy pesada, Tipo de asiento;;;Bueno;;;;Regulares;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;No;No;7;8;;;;;;
8/7/2018 23:53:44;Masculino;;42;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Ninguno en particular (uso distintos modos);No;No;Sí
8/7/2018 23:56:20;Femenino;;30;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Muy buenos;No;;No;Suficiente;Insuficiente;Comodidad;Actividades sociales;Colectivo;No;No;9;10;;;;;;
8/7/2018 23:56:24;Masculino;;57;Trabajador independiente;;Ha aumentado;Bueno;;;;Muy buena;;;;Regular;Problemas al leer la tarjeta;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Comodidad;La uso para todas mis actividades;A pie;No;No;8;8;;;;;;
8/7/2018 23:58:01;Masculino;;19;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Protección del ambiente;Uso recreativo/ deportivo (sin destino específico);A pie;Sí;No;7;6;;;;;;
8/8/2018 0:04:00;Femenino;;48;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Buenos;No;;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente;Uso recreativo/ deportivo (sin destino específico);Ninguno en particular (usaba distintos modos);Sí;No;8;8;;;;;;
8/8/2018 0:04:08;Masculino;;54;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Regular;Falta de limpieza, Neumáticos desinflados, Problemas para regular el asiento, Ausencia o mal funcionamiento de luces, Hace ruido al andar;;;Regular;Tipo de freno, Tipo de asiento, Diseño general deficiente;;;Regular;Problemas al leer la tarjeta, Problemas para liberar la bici, Problemas al anclar la bici, Falta de bicis disponibles o espacios para devolución;;;Malas;Regulares;Sí;Algo útil;No;No sabe/No contesta;No sabe/No contesta;Ahorro de tiempo, Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;Bici propia;No;No;6;7;;;;;;
8/8/2018 0:06:00;Masculino;;37;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Regular;Problemas para liberar la bici;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo;Actividades sociales;A pie;Sí;No;8;8;;;;;;
8/8/2018 0:07:28;Femenino;;26;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Poco útil;Sí;No sabe/No contesta;No sabe/No contesta;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;La uso para todas mis actividades;Colectivo;Sí;No;9;8;;;;;;
8/8/2018 0:10:12;Femenino;;30;Desocupado;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici, Anclajes rotos;;;Buenas;Buenos;Sí;Algo útil;No;No sabe/No contesta;Suficiente;Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;No;4;5;;;;;;
8/8/2018 0:13:12;Femenino;;22;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;No sabe/No contesta;Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;8;9;;;;;;
8/8/2018 0:14:14;Femenino;;26;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Cuido mi salud;Uso recreativo/ deportivo (sin destino específico);Ninguno en particular (usaba distintos modos);No;No;8;9;;;;;;
8/8/2018 0:16:54;Femenino;;38;Trabajador independiente;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;No;No;No sabe/ No contesta
8/8/2018 0:24:13;Femenino;;24;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Problemas al leer la tarjeta;;;Buenas;Buenos;Sí;Poco útil;Sí;Suficiente;Suficiente;Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;7;7;;;;;;
8/8/2018 0:25:55;Masculino;;23;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Falta de disponibilidad de bicicletas o espacios para devolución;Colectivo;Sí;Sí;Sí
8/8/2018 0:27:34;Masculino;;26;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;Sí;No;Sí
8/8/2018 0:28:44;Femenino;;34;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Insuficiente;Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;Ninguno en particular (usaba distintos modos);Sí;No;6;8;;;;;;
8/8/2018 0:29:16;Femenino;;22;Estudiante;;Ha aumentado;Muy bueno;;;;Buena;;;;Regular;Problemas para liberar la bici;;;Muy buenas;Muy buenos;No;;Sí;Suficiente;Suficiente;Ahorro de dinero;Actividades sociales;Colectivo;Sí;No;10;9;;;;;;
8/8/2018 0:30:39;Femenino;;21;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;8;9;;;;;;
8/8/2018 0:39:09;Femenino;;20;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, porque creo que me expongo a sufrir acoso callejero;;Colectivo;No;Sí;Sí
8/8/2018 0:40:03;Femenino;;30;Trabajador independiente;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;No sabe/No contesta;No sabe/No contesta;Otro;Ir/volver al trabajo;Colectivo;No;No;2;2;;;;;;
8/8/2018 0:41:58;Masculino;;35;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Bici propia;Sí;No;Sí
8/8/2018 0:42:57;Femenino;;24;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, ya que temo sufrir un robo;;Colectivo;No;Sí;Sí
8/8/2018 0:43:09;Masculino;;21;Otro;Empleado;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, ya que temo sufrir un robo;;Colectivo;Sí;No;Sí
8/8/2018 0:44:04;Femenino;;30;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;A pie;No;Sí;Sí
8/8/2018 0:48:06;Masculino;;29;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Mal estado de las bicicletas;Bici propia;Sí;No;Sí
8/8/2018 0:48:44;Femenino;;34;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Mala;;Se debe pedalear mucho para avanzar, Bici muy pesada, Otro;;Bueno;;;;Regulares;Buenos;Sí;Muy útil;Sí;No sabe/No contesta;No sabe/No contesta;Cuido mi salud, Protección del ambiente;Actividades sociales;Colectivo;No;No;10;7;;;;;;
8/8/2018 0:57:21;Femenino;;55;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Falta de disponibilidad de bicicletas o espacios para devolución;Ninguno en particular (uso distintos modos);No;No;No sabe/ No contesta
8/8/2018 1:01:50;Femenino;;30;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;A pie;No;Sí;Sí
8/8/2018 1:03:36;Femenino;;26;Estudiante;;Ha sido constante;Bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero;Actividades sociales;A pie;Sí;No;8;8;;;;;;
8/8/2018 1:05:21;Masculino;;38;Trabajador en relación de dependencia;;Ha aumentado;Regular;Neumáticos desinflados, Pedales dañados;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;Ninguno en particular (usaba distintos modos);No;No;8;9;;;;;;
8/8/2018 1:12:32;Masculino;;62;Jubilado/ Pensionado;;Ha sido constante;Bueno;;;;Buena;;;;Muy bueno;;;;Regulares;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente, Comodidad;Uso recreativo/ deportivo (sin destino específico);Ninguno en particular (usaba distintos modos);No;No;8;8;;;;;;
8/31/2018 14:58:41;Masculino;;31;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Insuficiente;No sabe/No contesta;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Uso recreativo/ deportivo (sin destino específico);Ninguno de los anteriores (es un viaje que antes no hacía);No;No;3;3;;;;;;
8/8/2018 1:35:16;Femenino;;21;Estudiante;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;Sí;Insuficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/ volver de mi lugar de estudio;Colectivo;No;No;9;8;;;;;;
8/8/2018 1:37:29;Masculino;;22;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, ya que temo sufrir un robo;;Colectivo;No;No;Sí
8/8/2018 1:39:42;Femenino;;31;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de dinero;Ir a lugar de esparcimiento;Colectivo;Sí;Sí;8;8;;;;;;
8/8/2018 1:53:26;Femenino;;28;Estudiante;;Ha sido constante;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Protección del ambiente;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;8;9;;;;;;
8/8/2018 2:25:43;Masculino;;22;Estudiante;;Ha aumentado;Bueno;;;;Buena;;;;Regular;Problemas al leer la tarjeta, Problemas para liberar la bici;;;Regulares;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;La uso para todas mis actividades;A pie;No;No;9;8;;;;;;
8/8/2018 5:21:22;Femenino;;23;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;A pie;Sí;No;Sí
8/8/2018 5:49:09;Femenino;;42;Trabajador independiente;;Ha sido constante;Muy bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Uso recreativo/ deportivo (sin destino específico);A pie;No;No;10;9;;;;;;
8/8/2018 5:52:58;Masculino;;42;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio;;;Muy buenas;Buenos;No;;No;Suficiente;Suficiente;Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;Sí;7;6;;;;;;
8/8/2018 6:16:05;Masculino;;52;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Actividades sociales;Colectivo;No;Sí;10;10;;;;;;
8/8/2018 6:16:06;Masculino;;21;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Regular;Mal funcionamiento mecánico, Neumáticos desinflados, Problemas para regular el asiento, Hace ruido al andar;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Algo útil;No;Insuficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Protección del ambiente, Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;Sí;7;7;;;;;;
8/8/2018 6:45:12;Femenino;;39;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;No sabe/No contesta;No sabe/No contesta;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir a lugar de esparcimiento;A pie;No;No;10;8;;;;;;
8/8/2018 7:02:52;Masculino;;24;Estudiante;;Ha aumentado;Bueno;;;;Muy buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Protección del ambiente;La uso para todas mis actividades;Colectivo;No;No;10;8;;;;;;
8/8/2018 7:21:10;Masculino;;61;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;No;No;Sí
8/8/2018 7:24:07;Femenino;;43;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero;Ir/volver al trabajo;Colectivo;Sí;No;10;10;;;;;;
8/31/2018 14:24:57;Femenino;;31;Trabajador en relación de dependencia;;Ha sido constante;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Algo útil;No;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Comodidad, Otro;Ir/volver al trabajo;Colectivo;Sí;No;8;8;;;;;;
8/8/2018 7:38:42;Masculino;;53;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Insuficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente;La uso para todas mis actividades;A pie;No;No;9;9;;;;;;
8/8/2018 7:55:57;Masculino;;38;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Actividades sociales;Colectivo;Sí;No;6;10;;;;;;
8/8/2018 7:57:19;Masculino;;49;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;No;Sí;Sí
8/8/2018 8:12:17;Femenino;;39;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Insuficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud;Ir/volver al trabajo;Colectivo;Sí;No;9;8;;;;;;
8/8/2018 8:12:34;Femenino;;59;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;Colectivo;No;No;Sí
8/8/2018 8:14:00;Masculino;;54;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo;Ir/volver al trabajo;Colectivo;No;No;10;8;;;;;;
8/8/2018 8:28:11;Femenino;;35;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;Ninguno en particular (usaba distintos modos);Sí;No;10;8;;;;;;
8/8/2018 8:32:03;Femenino;;32;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Colectivo;Sí;No;Sí
8/8/2018 8:32:25;Masculino;;33;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Colectivo;Sí;Sí;Sí
8/8/2018 8:38:23;Masculino;;23;Trabajador independiente;;Ha sido constante;Regular;Hace ruido al andar;;;Regular;Se debe pedalear mucho para avanzar, Bici muy pesada;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Comodidad;Actividades sociales;Colectivo;Sí;Sí;7;7;;;;;;
8/8/2018 8:39:08;Masculino;;16;Estudiante;;Ha sido constante;Regular;Pedales dañados, Hace ruido al andar;;;Regular;Bici muy pesada;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;Sí;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;No;No;8;6;;;;;;
8/8/2018 8:42:58;Masculino;;13;Estudiante;;Ha sido constante;Regular;Mal funcionamiento mecánico, Pedales dañados;;;Regular;Bici muy pesada;;;Regular;Anclajes rotos, Falta de bicis disponibles o espacios para devolución;;;Buenas;Buenos;No;;No;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;Ir/ volver de mi lugar de estudio;Auto como acompañante;No;No;7;7;;;;;;
8/8/2018 8:52:49;Femenino;;47;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;Sí;Suficiente;Suficiente;Cuido mi salud;Ir/volver al trabajo;Colectivo;No;No;8;10;;;;;;
8/8/2018 8:54:12;Femenino;;27;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Insuficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/volver al trabajo;A pie;No;No;8;8;;;;;;
8/8/2018 8:55:05;Masculino;;51;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;Ninguno en particular (usaba distintos modos);No;Sí;10;9;;;;;;
